Fruit juice (non-citrus),1 cup,,113.00,0.25,0.30,0.10,0.00,0.00,10.00,28.00,0.50,24.00,0.20,0.00,3.00,2.00,1.00,1.76,24.49,186.33,24.05,0.25
Artichokes (fresh),1 artichoke,,60.00,0.13,0.20,0.00,0.00,0.00,120.00,13.50,6.90,1.30,4.20,0.00,25.00,5.00,8.00,4.56,45.84,43.37,13.67,0.06
Asparagus (fresh),5 spears,,20.00,0.09,0.10,0.00,0.00,0.00,0.00,4.00,2.00,2.00,2.00,10.00,15.00,2.00,2.00,0.24,67.69,115.17,43.22,0.66
Bell peppers (fresh),1 medium bell pepper,,25.00,0.15,0.20,0.10,0.00,0.00,40.00,6.00,2.00,4.00,1.00,4.00,190.00,2.00,4.00,2.66,10.28,24.74,11.50,0.60
Broccoli (fresh),1 medium stalk,,45.00,0.15,0.50,0.10,0.00,0.00,80.00,8.00,3.00,2.00,4.00,6.00,220.00,6.00,6.00,5.27,7.60,25.94,11.67,0.07
Brussel sprouts (fresh),4 sprouts,,30.00,0.08,0.20,0.00,0.00,0.00,18.00,6.30,2.70,1.60,2.40,10.00,98.00,2.00,5.00,0.37,4.31,14.72,14.72,0.01
Cabbage (fresh),1.5 cups shredded,,25.00,0.08,0.10,0.00,0.00,0.00,20.00,5.00,2.00,3.00,1.00,0.00,70.00,4.00,2.00,0.37,6.09,12.77,5.57,0.01
Carrots (fresh),1/2 cup carrots,,30.00,0.08,0.20,0.00,0.00,0.00,60.00,7.00,2.00,5.00,1.00,110.00,10.00,2.00,2.00,0.21,1.88,6.67,3.91,0.06
Cauliflower (fresh),1/6 medium head,,25.00,0.10,0.30,0.10,0.00,0.00,30.00,5.00,2.00,2.00,2.00,0.00,100.00,2.00,2.00,3.53,5.08,17.35,7.81,0.04
Celery (fresh),2 medium stalks,,15.00,0.11,0.20,0.00,0.00,0.00,115.00,4.00,2.00,2.00,0.00,10.00,15.00,4.00,2.00,0.28,2.65,9.40,5.52,0.78
Collards (fresh),2 cups chopped,,23.00,0.07,0.40,0.00,0.00,0.00,12.00,3.90,2.90,0.30,2.20,100.00,40.00,10.00,0.00,1.19,3.87,8.39,4.50,0.05
